Alternatives evaluation matrix (template - scores to be filled for 3 layouts),,,,,,,
,,,,,,,
Criterion (from brief),Weight,Alt 1 score,Alt 2 score,Alt 3 score,Alt1 wtd,Alt2 wtd,Alt3 wtd
Meets demand of 400 000/yr,0.2,,,,0,0,0
Logical material flow (receiving to dispatch),0.2,,,,0,0,0
Enclosed powder coating + hazard separation,0.15,,,,0,0,0
Efficient storage and material handling,0.15,,,,0,0,0
Pedestrian / vehicle safety and site access,0.1,,,,0,0,0
~10% expansion provision,0.1,,,,0,0,0
Ease of construction / implementation,0.1,,,,0,0,0
TOTAL,1,,,,0,0,0
,,,,,,,
Enter a score of 1 (poor) to 5 (excellent) for each alternative; weighted totals rank the layouts.,,,,,,,
